id,title,course_level,department_name
ECON279,Special Topics in Political Economy,Graduate/Professional Only (200+),Economics
ECPS211,Machine Learning and Data Mining,Graduate/Professional Only (200+),Embedded and Cyber-Physical Systems
EDUC125,"Children, Schools, and Cinema",Upper Division (100-199),Education
EDUC145,Theories and Pedagogies of Race in Education,Upper Division (100-199),Education
EDUC149,"Family, School, and Community in Early Childhood",Upper Division (100-199),Education
EDUC176,"Psychology of Learning, Abilities, and Intelligence",Upper Division (100-199),Education
EDUC232,Mathematics Cognition and Learning,Graduate/Professional Only (200+),Education
EDUC243,The Policy Environment of Teaching,Graduate/Professional Only (200+),Education
EDUC255,Immigration and the New Second Generation,Graduate/Professional Only (200+),Education
EDUC341,Teaching Science in Secondary School,Graduate/Professional Only (200+),Education
EDUC348,Educational Equity and the Exceptional Learner,Graduate/Professional Only (200+),Education
EDUC52,Foundations of Bilingual Education and Bilingualism,Lower Division (1-99),Education
EECS118,Introduction to Artificial Intelligence,Upper Division (100-199),Electrical Engineering & Computer Science
EECS180A,Engineering Electromagnetics I,Upper Division (100-199),Electrical Engineering & Computer Science
EECS216,Advanced Application of Algorithms,Graduate/Professional Only (200+),Electrical Engineering & Computer Science
EECS248A,Computer and Communication Networks,Graduate/Professional Only (200+),Electrical Engineering & Computer Science
EECS270A,Advanced Analog Integrated Circuit Design I,Graduate/Professional Only (200+),Electrical Engineering & Computer Science
COMPSCI259S,Seminar in Design Science,Graduate/Professional Only (200+),Computer Science
COMPSCI262,Computational Complexity,Graduate/Professional Only (200+),Computer Science
COMPSCI263,Analysis of Algorithms,Graduate/Professional Only (200+),Computer Science
COMPSCI265,Graph Algorithms,Graduate/Professional Only (200+),Computer Science
COMPSCI268,Introduction to Optimization,Graduate/Professional Only (200+),Computer Science
COMPSCI271,Introduction to Artificial Intelligence,Graduate/Professional Only (200+),Computer Science
COMPSCI299,Individual Study,Graduate/Professional Only (200+),Computer Science
CRM/LAWC124,Mental Health and the Justice System,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC136,Forensic Psychology: Advanced Seminar,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC139,Police and Change,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC162,Crime Hotspots,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC219,Hate Crime,Graduate/Professional Only (200+),"Criminology, Law and Society"
DANCE104,Pilates Reformer,Upper Division (100-199),Dance
DANCE132B,Studio Workshop in Ballet II,Upper Division (100-199),Dance
DANCE135B,Advanced Studio Workshop in Ballet V,Upper Division (100-199),Dance
DANCE144C,Advanced Studio Workshop in Modern/Contemporary IV,Upper Division (100-199),Dance
DANCE197,Independent Study,Upper Division (100-199),Dance
DANCE2,Dance Health and Injury Prevention,Lower Division (1-99),Dance
DANCE252C,Graduate Studio: Tap,Graduate/Professional Only (200+),Dance
DEVBIO203C,Graduate Tutorial in Developmental and Cell Biology,Graduate/Professional Only (200+),Developmental and Cell Biology
DRAMA145,Music Theatre Singing,Upper Division (100-199),Drama
DRAMA180W,Contemporary Dramatic Criticism and Theory,Upper Division (100-199),Drama
DRAMA211,Graduate Studio: Directing,Graduate/Professional Only (200+),Drama
DRAMA30A,Acting,Lower Division (1-99),Drama
EARTHSS124,Weather Analysis,Upper Division (100-199),Earth System Science
EARTHSS146,Consequences of Air Pollution,Upper Division (100-199),Earth System Science
EARTHSS176W,"Marine Conservation, Policy, and Society",Upper Division (100-199),Earth System Science
EARTHSS238,Satellite Remote Sensing for Earth System Science,Graduate/Professional Only (200+),Earth System Science
EARTHSS242,Advanced Atmospheric Chemistry,Graduate/Professional Only (200+),Earth System Science
EARTHSSH199B,Honors Research in Earth System Science,Upper Division (100-199),Earth System Science
EAS20,Topics in Asian Religions,Lower Division (1-99),East Asian Studies
EAS220,Topics in East Asian Cultural Studies,Graduate/Professional Only (200+),East Asian Studies
ECOEVO235,Experimental Evolution,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO236,Human Dimensions in Conservation and Restoration,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO262,Professional Workshop,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO265,Restoration Ecology,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECON131A,The Economics of Risk and Uncertainty,Upper Division (100-199),Economics
ECON17,An Economic Approach to Religion,Lower Division (1-99),Economics
ECON220B,Statistics and Econometrics II,Graduate/Professional Only (200+),Economics
ECON227B,Experimental Econ II,Graduate/Professional Only (200+),Economics
ECON259,Special Topics in Labor Economics,Graduate/Professional Only (200+),Economics
ECPS206,Real-Time and Distributed Systems,Graduate/Professional Only (200+),Embedded and Cyber-Physical Systems
ECPS208,Control Systems for Cyber-Physical Systems,Graduate/Professional Only (200+),Embedded and Cyber-Physical Systems
EDUC101,Strategies for Tutoring and Teacher Aiding in a Bilingual Classroom,Upper Division (100-199),Education
EDUC128,Exceptional Learners,Upper Division (100-199),Education
EDUC137,Arts for Elementary Learners,Upper Division (100-199),Education
EDUC144,The American Charter School,Upper Division (100-199),Education
EDUC157,Educational Research and Evaluation,Upper Division (100-199),Education
EDUC198,Directed Research in Education,Upper Division (100-199),Education
EDUC251,Educational Policy and Politics,Graduate/Professional Only (200+),Education
EDUC276,Early Childhood Education Policy,Graduate/Professional Only (200+),Education
EDUC359,Curriculum and Methods for Elementary Social Science and Information Literacy,Graduate/Professional Only (200+),Education
EDUC50,"Origins, Purposes, and Central Issues in K-12 Education",Lower Division (1-99),Education
EECS116,Introduction to Data Management,Upper Division (100-199),Electrical Engineering & Computer Science
EECS170E,Analog and Communications IC Design,Upper Division (100-199),Electrical Engineering & Computer Science
EECS170LA,Electronics I Laboratory,Upper Division (100-199),Electrical Engineering & Computer Science
EECS199,Individual Study,Upper Division (100-199),Electrical Engineering & Computer Science
EECS199P,Individual Study,Upper Division (100-199),Electrical Engineering & Computer Science
EECS224,High-Performance Computing,Graduate/Professional Only (200+),Electrical Engineering & Computer Science
EECS294,Electrical Engineering and Computer Science Colloquium,Graduate/Professional Only (200+),Electrical Engineering & Computer Science
EHS299,Research Problems,Graduate/Professional Only (200+),Environmental Health Sciences
ENGLISH299,Dissertation Research,Graduate/Professional Only (200+),English
ENGR199,Individual Study,Upper Division (100-199),Engineering
ENGR265,Advanced Manufacturing,Graduate/Professional Only (200+),Engineering
COMPSCI271P,Artificial Intelligence,Graduate/Professional Only (200+),Computer Science
COMPSCI274A,Probablistic Learning: Theory and Algorithms,Graduate/Professional Only (200+),Computer Science
COMPSCI277,Control and Reinforcement Learning,Graduate/Professional Only (200+),Computer Science
COMPSCI294P,Keystone Professional Writing and Communication for Computer Science Careers,Graduate/Professional Only (200+),Computer Science
COMPSCI296,Elements of Scientific Writing,Graduate/Professional Only (200+),Computer Science
COMPSCI296P,Capstone Professional Writing and Communication for Computer Science Careers,Graduate/Professional Only (200+),Computer Science
COMPSCI298,Thesis Supervision,Graduate/Professional Only (200+),Computer Science
CRM/LAWC10,"Fundamentals of Criminology, Law and Society",Lower Division (1-99),"Criminology, Law and Society"
CRM/LAWC132,"Forensic Science, Law, and Society",Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC178,Critical Race Theory,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC201,Research Methods,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC266,Psychology and the Law,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC270,Economics of Crime,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC296,Doctoral Dissertation Research and Writing,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC299,Independent Study,Graduate/Professional Only (200+),"Criminology, Law and Society"
CSE112,Electronic Devices and Circuits,Upper Division (100-199),Computer Science and Engineering
DANCE134C,Advanced Studio Workshop in Ballet IV,Upper Division (100-199),Dance
DANCE142C,Studio Workshop in Modern/Contemporary II,Upper Division (100-199),Dance
DANCE152C,Intermediate Studio Workshop in Jazz II,Upper Division (100-199),Dance
DANCE178,Performance Laboratory,Upper Division (100-199),Dance
DANCE241A,Graduate Studio Workshop in Modern/Contemporary,Graduate/Professional Only (200+),Dance
DANCE40B,Studio Workshop in Modern/Contemporary Dance I,Lower Division (1-99),Dance
DANCE60A,Choreography,Lower Division (1-99),Dance
DATA297P,Capstone Design and Analysis,Graduate/Professional Only (200+),Data Science
DEVBIO292C,Scientific Communication,Graduate/Professional Only (200+),Developmental and Cell Biology
DRAMA10,Introduction to Theatre,Lower Division (1-99),Drama
DRAMA100,University Theatre,Upper Division (100-199),Drama
DRAMA123,Multicultural Theatres,Upper Division (100-199),Drama
DRAMA159,Proseminar in Theatre Design,Upper Division (100-199),Drama
DRAMA203,Graduate Studio: Movement,Graduate/Professional Only (200+),Drama
DRAMA246B,Musical Scene Study II,Graduate/Professional Only (200+),Drama
DRAMA251C,Foundations of Theatre,Graduate/Professional Only (200+),Drama
DRAMA259,Theatre Colloquium,Graduate/Professional Only (200+),Drama
DRAMA30B,Acting,Lower Division (1-99),Drama
DRAMA34,Movement for Actors,Lower Division (1-99),Drama
DRAMA50B,Introduction to Scenic Design,Lower Division (1-99),Drama
EARTHSS142,Atmospheric Chemistry,Upper Division (100-199),Earth System Science
EARTHSS19,Introduction to Modeling the Earth System,Lower Division (1-99),Earth System Science
EARTHSS190A,Senior Seminar on Global Sustainability I,Upper Division (100-199),Earth System Science
EARTHSS190B,Senior Seminar on Global Sustainability II,Upper Division (100-199),Earth System Science
EARTHSS202,Climate Change,Graduate/Professional Only (200+),Earth System Science
EARTHSS226,Land Surface Processes,Graduate/Professional Only (200+),Earth System Science
EARTHSS280A,Special Topics in Earth System Science,Graduate/Professional Only (200+),Earth System Science
EARTHSS3,Oceanography,Lower Division (1-99),Earth System Science
EAS199,Independent Study,Upper Division (100-199),East Asian Studies
ECOEVO221,Advanced Topics in Ecology,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO231,Communication Skills for Environmental Scholars,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECON100B,Intermediate Economic II,Upper Division (100-199),Economics
ECON105A,Intermediate Quantitative Economics I,Upper Division (100-199),Economics
ECON135,Mathematics of Finance,Upper Division (100-199),Economics
ECON140E,Health Economics,Upper Division (100-199),Economics
ECON144A,Urban Economics I,Upper Division (100-199),Economics
ECON144B,Urban Economics II,Upper Division (100-199),Economics
ECON145E,Economics of the Environment,Upper Division (100-199),Economics
ECON243B,Advanced Game Theory,Graduate/Professional Only (200+),Economics
ECONH190A,Economics Honors Colloquium I,Upper Division (100-199),Economics
EDUC122A,Foundations of Elementary Mathematics Learning I,Upper Division (100-199),Education
EDUC122B,Foundations of Elementary Mathematics Learning II,Upper Division (100-199),Education
EDUC127A,Moral Education for Youth Development I,Upper Division (100-199),Education
EDUC143,Controversies in College,Upper Division (100-199),Education
EDUC159,Experimental Research Methods,Upper Division (100-199),Education
EDUC190,Principles and Practices of K–6 After School Sports and Fitness,Upper Division (100-199),Education
EDUC217,Foundations of Digital Learning,Graduate/Professional Only (200+),Education
EDUC220,Developing Adolescent Literacy,Graduate/Professional Only (200+),Education
COMPSCI275,Network-Based Reasoning/Constraint Networks,Graduate/Professional Only (200+),Computer Science
COMPSCI285,Mathematical and Computational Biology,Graduate/Professional Only (200+),Computer Science
CRM/LAWC104,Sociology of Law,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC216,"Public Policy, Crime, and Criminal Justice",Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC234,Anthropology of Law,Graduate/Professional Only (200+),"Criminology, Law and Society"
DANCE127A,Costume Design for Dance,Upper Division (100-199),Dance
DANCE142A,Studio Workshop in Modern/Contemporary II,Upper Division (100-199),Dance
DANCE142B,Studio Workshop in Modern/Contemporary II,Upper Division (100-199),Dance
DANCE154C,Advanced Jazz: Performance Techniques IV,Upper Division (100-199),Dance
DANCE201,Seminar in Kinesiology for Dance,Graduate/Professional Only (200+),Dance
DEVBIO245,Stem Cell Biology,Graduate/Professional Only (200+),Developmental and Cell Biology
DEVBIO290C,Colloquium in Developmental and Cell Biology,Graduate/Professional Only (200+),Developmental and Cell Biology
DRAMA101S,Theatre Production: Theatre Management,Upper Division (100-199),Drama
DRAMA116W,Special Topics in Nineteenth-Century Dramas,Upper Division (100-199),Drama
DRAMA148C,History of American Musical Theatre,Upper Division (100-199),Drama
DRAMA180,Contemporary Dramatic Criticism and Theory,Upper Division (100-199),Drama
DRAMA249,Graduate Music Direction,Graduate/Professional Only (200+),Drama
DRAMA40A,Development of Drama,Lower Division (1-99),Drama
DRAMA50A,Introduction to Costume Design,Lower Division (1-99),Drama
EARTHSS115,Aquatic Field Methods,Upper Division (100-199),Earth System Science
EARTHSS266,Global Biogeochemical Cycles,Graduate/Professional Only (200+),Earth System Science
EARTHSS286C,Special Topics in Biogeochemistry,Graduate/Professional Only (200+),Earth System Science
EARTHSS40A,Earth System Chemistry,Lower Division (1-99),Earth System Science
EAS15K,Introductory Topics in Korean Literature,Lower Division (1-99),East Asian Studies
EAS160,Topics in East Asian Cinema,Upper Division (100-199),East Asian Studies
EAS216,Topics in East Asian Religions,Graduate/Professional Only (200+),East Asian Studies
EAS260,Topics in East Asian Cinema,Graduate/Professional Only (200+),East Asian Studies
EAS299,Dissertation Research,Graduate/Professional Only (200+),East Asian Studies
ECOEVO201,Seminar in Ecology and Evolutionary Biology,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO208,Ecological and Evolutionary Physiology,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO266L,Field Methods in Restoration,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO269,Project Management,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO283,Advanced Informatics for Biologists,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO399,University Teaching,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECON100A,Intermediate Economics I,Upper Division (100-199),Economics
ECON146B,Economics of Criminal Justice,Upper Division (100-199),Economics
ECON164AW,The Industrial Revolution in Western Europe,Upper Division (100-199),Economics
ECON169,Special Topics in Development Economics,Upper Division (100-199),Economics
ECON20A,Basic Economics I,Lower Division (1-99),Economics
ECON221A,Statistics and Econometrics Laboratory I,Graduate/Professional Only (200+),Economics
ECON221C,Statistics and Econometrics Laboratory III,Graduate/Professional Only (200+),Economics
ECON242,Development Economics,Graduate/Professional Only (200+),Economics
ECPS205,"Sensors, Actuators, and Sensor Networks",Graduate/Professional Only (200+),Embedded and Cyber-Physical Systems
EDUC120A,Introduction to Positive Psychology in Education,Upper Division (100-199),Education
EDUC120B,Applied Positive Psychology in Education,Upper Division (100-199),Education
EDUC161,Discovering Science in Out-of-School Hours,Upper Division (100-199),Education
EDUC175,Foundations of Education,Upper Division (100-199),Education
EDUC234,Measurement and Psychometrics,Graduate/Professional Only (200+),Education
EDUC236,Applied Linguistics and Literacy,Graduate/Professional Only (200+),Education
EDUC246,Teaching Investigations: Identifying Dilemmas of Practice,Graduate/Professional Only (200+),Education
EDUC252,Social Organization of Schools and Classrooms,Graduate/Professional Only (200+),Education
EDUC261,Social and Cultural Foundations of Education,Graduate/Professional Only (200+),Education
EDUC283B,Qualitative Research Methods in Education II,Graduate/Professional Only (200+),Education
EDUC361,The Adolescent Learner,Graduate/Professional Only (200+),Education
EDUC55,Knowing and Learning in Mathematics and Science,Lower Division (1-99),Education
EECS111,System Software,Upper Division (100-199),Electrical Engineering & Computer Science
EECS120,Fundamentals of Parallel Computing,Upper Division (100-199),Electrical Engineering & Computer Science
EECS144,Antenna Design for Wireless Communication Links,Upper Division (100-199),Electrical Engineering & Computer Science
EECS159B,Senior Design Project II,Upper Division (100-199),Electrical Engineering & Computer Science
EECS160A,Introduction to Control Systems,Upper Division (100-199),Electrical Engineering & Computer Science
EECS160LA,Control Systems I Laboratory,Upper Division (100-199),Electrical Engineering & Computer Science
EECS170C,Electronics III,Upper Division (100-199),Electrical Engineering & Computer Science
EECS215,Design and Analysis of Algorithms,Graduate/Professional Only (200+),Electrical Engineering & Computer Science
EECS229,Low Power SoC Design,Graduate/Professional Only (200+),Electrical Engineering & Computer Science
CRM/LAWC101,American Law,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC110,Community Context of Crime,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC131,Organized Crime and American Society,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC138,Media Effects on Law and Justice,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC144,Criminal Law,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC168,Extreme Punishment,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC174,Immigration and Crime,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC242,Crime Hotspots,Graduate/Professional Only (200+),"Criminology, Law and Society"
DANCE110,World Dance,Upper Division (100-199),Dance
DANCE132A,Studio Workshop in Ballet II,Upper Division (100-199),Dance
DANCE133C,Advanced Studio Workshop in Ballet III,Upper Division (100-199),Dance
DANCE154A,Advanced Jazz: Performance Techniques IV,Upper Division (100-199),Dance
DANCE156C,Studio Workshop in Hip Hop III,Upper Division (100-199),Dance
DANCE172,Master of Fine Arts Concert,Upper Division (100-199),Dance
DANCE176,UCI Jazz Dance Ensemble,Upper Division (100-199),Dance
DANCE179,UCI Etude Ensemble,Upper Division (100-199),Dance
DANCE241B,Graduate Studio Workshop in Modern/Contemporary,Graduate/Professional Only (200+),Dance
DANCE50C,Studio Workshop on Jazz I,Lower Division (1-99),Dance
DEVBIO210,Developmental Genetics and Genomics,Graduate/Professional Only (200+),Developmental and Cell Biology
DRAMA109,Special Topics in Theory and Criticism,Upper Division (100-199),Drama
DRAMA110W,Special Topics in Classical Dramas,Upper Division (100-199),Drama
DRAMA112,Special Topics in Early Modern and Neoclassical Theatre,Upper Division (100-199),Drama
DRAMA164A,History of Costume,Upper Division (100-199),Drama
DRAMA185,Advanced Directing,Upper Division (100-199),Drama
DRAMA195,Music Theatre Dance - Special Topics,Upper Division (100-199),Drama
DRAMA198,Director Class Project,Upper Division (100-199),Drama
DRAMA201,Graduate Studio: Voice,Graduate/Professional Only (200+),Drama
DRAMA219,Graduate Master Class,Graduate/Professional Only (200+),Drama
DRAMA241,Singing Pedagogy,Graduate/Professional Only (200+),Drama
DRAMA242,Conducting,Graduate/Professional Only (200+),Drama
DRAMA251A,Foundations of Theatre,Graduate/Professional Only (200+),Drama
DRAMA260A,Digital Costume Rendering,Graduate/Professional Only (200+),Drama
DRAMA290,Dramatic Literature and Theatre History Prior to 1900,Graduate/Professional Only (200+),Drama
EARTHSS130,Physical Oceanography,Upper Division (100-199),Earth System Science
EARTHSS138,Satellite Remote Sensing for Earth System Science,Upper Division (100-199),Earth System Science
EARTHSS199,Undergraduate Research,Upper Division (100-199),Earth System Science
EARTHSS244,Introduction to Atmospheric Dynamics,Graduate/Professional Only (200+),Earth System Science
EARTHSS280B,Special Topics in Earth System Science,Graduate/Professional Only (200+),Earth System Science
EARTHSS288C,Special Topics in Ecosystems,Graduate/Professional Only (200+),Earth System Science
EAS225,Topics in East Asian Applied Linguistics,Graduate/Professional Only (200+),East Asian Studies
EAS290,Independent Study,Graduate/Professional Only (200+),East Asian Studies
EAS40,Topics in East Asian Popular Culture,Lower Division (1-99),East Asian Studies
ECOEVO204,Writing Grant Proposals,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO222,Statistical Learning in Ecology and Evolution,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO253,Functional and Structural Evolutionary Genomics,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECOEVO264,Conservation Biology,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECON100C,Intermediate Economics III,Upper Division (100-199),Economics
ECON122CW,Data Analysis Writing,Upper Division (100-199),Economics
ECON123B,Econometrics II,Upper Division (100-199),Economics
ECON134A,Corporate Finance,Upper Division (100-199),Economics
ECON137W,Financial Markets and the Macroeconomy,Upper Division (100-199),Economics
ECON145FW,Economics of the Environment II,Upper Division (100-199),Economics
ECON152A,Economic Anthropology,Upper Division (100-199),Economics
ECON15B,Probability and Statistics in Economics II,Lower Division (1-99),Economics
ECON245,Empirical Methods in Applied Microeconomics,Graduate/Professional Only (200+),Economics
ECON269,Special Topics in Macroeconomics,Graduate/Professional Only (200+),Economics
ECON270B,Political Economy II,Graduate/Professional Only (200+),Economics
ECON270C,Political Economy III,Graduate/Professional Only (200+),Economics
ECON271,Economics of Criminal Justice,Graduate/Professional Only (200+),Economics
ECON281A,Urban Economics I,Graduate/Professional Only (200+),Economics
ECPS202,Cyber-Physical Systems Design,Graduate/Professional Only (200+),Embedded and Cyber-Physical Systems
ECPS212,Entrepreneurship for Scientists and Engineers,Graduate/Professional Only (200+),Embedded and Cyber-Physical Systems
EDUC143BW,Classroom Interactions II,Upper Division (100-199),Education
EDUC156,Introduction to Field Methods in Education,Upper Division (100-199),Education
COMPSCI267P,Data Compression,Graduate/Professional Only (200+),Computer Science
COMPSCI273A,Machine Learning,Graduate/Professional Only (200+),Computer Science
COMPSCI297P,Capstone Design Project for Computer Science,Graduate/Professional Only (200+),Computer Science
COMPSCI299P,Individual Study,Graduate/Professional Only (200+),Computer Science
CRM/LAWC103,US Legal Thought,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC106,Crime and Public Policy,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC107,Deviance,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC111,Theories of Punishment,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC120,Law and Inequality,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC126,"Drugs, Crime, and Social Control",Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC133,Homicide and Suicide,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC180,"Power, Constructions of Deviance, and Social Control",Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC183,"Controversies, Courts, Cultures: The Anthropology of Law",Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC210,"Introduction to Criminology, Law and Society",Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC238,White-Collar Crime,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC239A,Law and Society I,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC255,Public Policy,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC258,Crimmigration,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC261,Race and Justice Studies Writing Seminar,Graduate/Professional Only (200+),"Criminology, Law and Society"
DANCE125A,Teaching of Dance,Upper Division (100-199),Dance
DANCE154B,Advanced Jazz: Performance Techniques IV,Upper Division (100-199),Dance
DANCE155A,Studio Workshop in Hip Hop II,Upper Division (100-199),Dance
DANCE156A,Studio Workshop in Hip Hop III,Upper Division (100-199),Dance
DANCE162B,Choreography II,Upper Division (100-199),Dance
DANCE185W,Critical Issues in Dance,Upper Division (100-199),Dance
DANCE255A,Graduate Studio Workshop in Hip Hop,Graduate/Professional Only (200+),Dance
DANCE40A,Studio Workshop in Modern/Contemporary Dance I,Lower Division (1-99),Dance
DANCE52C,Workshop in Tap I,Lower Division (1-99),Dance
DANCE60B,Choreography,Lower Division (1-99),Dance
DANCE81,American Ballet and Modern Dance since 1900,Lower Division (1-99),Dance
DEVBIO200C,Research in Developmental and Cell Biology,Graduate/Professional Only (200+),Developmental and Cell Biology
DRAMA101A,Theatre Production:  Costume,Upper Division (100-199),Drama
DRAMA101D,Theatre Production:  Stage Management,Upper Division (100-199),Drama
DRAMA112W,Special Topics in Early Modern and Neoclassical Theatre,Upper Division (100-199),Drama
DRAMA126W,African American Film and Drama,Upper Division (100-199),Drama
DRAMA132A,Writing for Performance,Upper Division (100-199),Drama
DRAMA143A,Music Theatre Workshop III,Upper Division (100-199),Drama
DRAMA143C,Music Theatre Workshop III,Upper Division (100-199),Drama
DRAMA148A,History of American Musical Theatre,Upper Division (100-199),Drama
DRAMA183B,"Dance Technique, Level II",Upper Division (100-199),Drama
DRAMA193,NYSP - Performance,Upper Division (100-199),Drama
DRAMA257E,Thesis Writing Project-Stage Management,Graduate/Professional Only (200+),Drama
DRAMA295,Professional Internship,Graduate/Professional Only (200+),Drama
EARTHSS114,Earth System Science Laboratory and Field Methods,Upper Division (100-199),Earth System Science
EARTHSS15,Introduction to Global Climate Change,Lower Division (1-99),Earth System Science
EARTHSS158,Research Methods for Sustainable Systems Analysis,Upper Division (100-199),Earth System Science
EARTHSS215,Cryosphere,Graduate/Professional Only (200+),Earth System Science
EARTHSS286B,Special Topics in Biogeochemistry,Graduate/Professional Only (200+),Earth System Science
EARTHSSH199C,Honors Research in Earth System Science,Upper Division (100-199),Earth System Science
EAS170,Topics in Gender in East Asia,Upper Division (100-199),East Asian Studies
EAS399,University Teaching,Graduate/Professional Only (200+),East Asian Studies
ECOEVO271,Marine Research and Conservation Methods,Graduate/Professional Only (200+),Ecology and Evolutionary Biology
ECON122A,Applied Econometrics I,Upper Division (100-199),Economics
ECON139,Special Topics in Financial Economics,Upper Division (100-199),Economics
ECON157,Economic Development,Upper Division (100-199),Economics
ECON200A,Graduate Colloquium for Economics I,Graduate/Professional Only (200+),Economics
ECON241B,Industrial Organization II,Graduate/Professional Only (200+),Economics
ECON272A,Public Economics I,Graduate/Professional Only (200+),Economics
ECON299,Independent Study,Graduate/Professional Only (200+),Economics
ECPS207,Security and Privacy in Cyber-Physical Systems,Graduate/Professional Only (200+),Embedded and Cyber-Physical Systems
EDUC138,Children's Literature in the Elementary Classroom,Upper Division (100-199),Education
EDUC160,Foundations of Out-of-School Learning,Upper Division (100-199),Education
EDUC208,Reading and Writing Development,Graduate/Professional Only (200+),Education
EDUC230,The History and Culture of Schooling in the United States,Graduate/Professional Only (200+),Education
COMPSCI261P,Data Structures with Applications,Graduate/Professional Only (200+),Computer Science
COMPSCI266,Computational Geometry,Graduate/Professional Only (200+),Computer Science
COMPSCI298P,Computer Science Practicum,Graduate/Professional Only (200+),Computer Science
CRM/LAWC112,Legal Sanctions and Social Control,Upper Division (100-199),"Criminology, Law and Society"
CRM/LAWC212,Policing,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC218,"Social Problems, Law, and Policy",Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC252,Issues in Environmental Law and Policy,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC260A,Race and Justice Studies Proseminar,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC271,Economics of Criminal Justice,Graduate/Professional Only (200+),"Criminology, Law and Society"
CRM/LAWC280A,Professionalization Proseminar,Graduate/Professional Only (200+),"Criminology, Law and Society"
DANCE100,Kinesiology for Dance,Upper Division (100-199),Dance
DANCE153B,Advanced Studio Workshop in Jazz III,Upper Division (100-199),Dance
DANCE156B,Studio Workshop in Hip Hop III,Upper Division (100-199),Dance
DANCE160,Improvisation,Upper Division (100-199),Dance
DANCE30C,Studio Workshop in Ballet I,Lower Division (1-99),Dance
DANCE40C,Studio Workshop in Modern/Contemporary Dance I,Lower Division (1-99),Dance
DANCE90C,Dance History III,Lower Division (1-99),Dance
DEVBIO200A,Research in Developmental and Cell Biology,Graduate/Professional Only (200+),Developmental and Cell Biology
DEVBIO200R,Research in Developmental & Cell Biology for First-year Students,Graduate/Professional Only (200+),Developmental and Cell Biology
DEVBIO206B,Developmental and Cell Biology Journal Club,Graduate/Professional Only (200+),Developmental and Cell Biology
DEVBIO231B,Cell Biology,Graduate/Professional Only (200+),Developmental and Cell Biology
